DATE CREATED
2020-11-23T10:03:07+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
MEA2173 SDI-12 Smart Temperature Sensor 11

UOM DEFINITIONS
Degrees Celsius

STATION
Square Rocks
LATITUDE
-23.09862
LONGITUDE
150.88554

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL0_summer_98_99,wtemp_LEVEL0_summer_99_00,wtemp_LEVEL0_summer_00_01,wtemp_LEVEL0_summer_01_02,wtemp_LEVEL0_summer_02_03,wtemp_LEVEL0_summer_03_04,wtemp_LEVEL0_summer_04_05,wtemp_LEVEL0_summer_05_06,wtemp_LEVEL0_summer_06_07,wtemp_LEVEL0_summer_07_08,wtemp_LEVEL0_summer_08_09,wtemp_LEVEL0_summer_09_10,wtemp_LEVEL0_summer_10_11,wtemp_LEVEL0_summer_11_12,wtemp_LEVEL0_summer_12_13,wtemp_LEVEL0_summer_13_14,wtemp_LEVEL0_summer_14_15,wtemp_LEVEL0_summer_15_16,wtemp_LEVEL0_summer_16_17,wtemp_LEVEL0_summer_17_18,wtemp_LEVEL0_summer_18_19,wtemp_LEVEL0_summer_19_20
01-DEC,8,25.94794609375,,,25.4746,,26.0304,25.6204,25.9133,62.4265,25.861,25.2238,,,24.4809,27.2276,26.2292,26.2732,26.2805,26.7335,26.3294,25.3026,26.8554,26.489
02-DEC,8,25.990494791666666,,,25.6129,,26.1777,25.6865,26.1063,60.9756,25.8771,25.0496,,,24.6838,26.9977,26.2937,26.0311,26.4177,26.4352,26.5916,25.4902,27.0559,26.6177
03-DEC,8,26.1166109375,,,25.4938,,26.3452,25.8252,26.364,65.1225,26.0106,25.1023,,,24.4983,26.6516,26.4425,26.0106,26.5856,26.5575,26.6894,25.6088,27.0965,26.6109
04-DEC,8,26.287362760416666,,,25.3815,,26.3771,26.1765,26.2594,66.9746,26.1008,25.5635,,,24.5649,26.4203,26.7798,26.0914,26.6663,26.9129,26.6956,25.6702,27.0849,26.8737
05-DEC,8,26.346083333333333,,,25.3125,,26.3848,26.2694,25.9646,67.815,25.9623,25.8615,,,24.8697,26.1916,26.9543,26.1526,26.8006,26.8043,26.6092,25.7566,26.926,27.0471
06-DEC,8,26.4154546875,,,25.4333,,26.4985,26.3715,26.075,67.961,25.7679,26.165,,,25.4152,25.8526,26.5493,26.3369,26.787,26.9013,26.4931,25.8861,26.4787,27.0113
07-DEC,8,26.458888802083333,,,25.631,,26.4388,26.3829,26.125,68.2617,25.6529,26.2675,,,25.5775,25.8767,26.7846,26.27,27.1192,26.9429,26.4625,26.1098,26.1195,26.8643
08-DEC,8,26.498624479166665,,,25.6698,,26.3767,26.4131,26.1563,67.4835,25.5948,26.3621,,,25.8035,25.8779,26.7741,26.1834,27.2696,27.0597,26.515,26.124,25.7966,26.758
09-DEC,8,26.591251041666666,,,25.8721,,26.471,26.6288,26.369,66.8233,25.4321,26.526,,,25.9471,26.0376,26.7098,26.1982,27.0809,27.1616,26.9048,26.142,25.5748,26.7674
10-DEC,8,26.571567297297296,,,25.9571,,26.5065,26.7498,26.5058,67.54,25.1838,26.581,,,26.1451,26.122,26.7062,26.3306,27.1156,27.3305,26.8883,26.2918,25.5951,26.8483
11-DEC,7,26.58967261904762,,,26.0494,,26.5971,26.9463,26.7813,67.3952,25.1771,26.6444,,,26.117,26.3378,26.5309,26.5135,27.3063,27.5442,26.3448,26.4408,25.6947,26.9224
12-DEC,7,26.699494047619048,,,25.995,,26.4519,27.1677,27.0102,66.1275,25.436,26.7675,,,25.9703,26.4146,26.1951,26.6427,27.1899,27.6319,26.0012,26.2286,25.8736,27.017
13-DEC,7,26.81172619047619,,,26.0648,,26.5771,27.2554,27.2704,64.269,25.656,26.9013,,,26.3985,26.5114,25.9868,26.5641,26.8495,27.4631,25.8865,26.2901,25.8924,27.2473
14-DEC,7,26.95532738095238,,,26.1504,,26.8327,27.3794,27.4796,61.9442,25.9638,26.869,,,26.6386,26.586,25.8969,26.6393,26.5831,27.3383,26.0008,26.3771,26.1519,27.3422
15-DEC,7,27.05622023809524,,,26.1365,,26.895,27.4394,27.6758,61.8477,26.1356,26.9515,,,27.1574,26.7415,25.9827,26.7799,26.721,27.2848,26.2068,26.5181,26.171,27.3474
16-DEC,7,27.039583333333333,,,26.0925,,26.6408,27.3054,27.5415,61.3563,26.2471,27.0804,,,27.2326,26.487,26.1767,26.8261,27.0263,27.2496,26.4879,26.6657,25.9179,27.4099
17-DEC,7,26.979583333333334,,,26.0383,,26.4667,26.955,27.4552,59.6244,26.2773,27.3196,,26.7789,26.0454,26.4058,26.7977,27.1764,27.1895,26.7165,26.7371,25.8843,27.3308
18-DEC,7,26.90232142857143,,,26.0713,,26.3702,26.7296,27.3777,60.1588,25.8831,27.4825,28.2173,,26.5226,25.9188,26.5179,26.6396,27.2368,27.0701,26.9314,26.7856,26.1065,27.0513
19-DEC,7,26.859761904761903,,,26.2429,,26.3725,26.5219,27.2929,55.1896,25.7492,27.4285,28.256,,26.5559,25.91,26.6293,26.393,26.8257,26.9306,27.0919,26.8708,26.2792,26.7776
20-DEC,7,26.924821428571427,,,26.38,,26.4671,26.5771,27.539,48.2879,25.7894,27.4906,28.35,26.5606,26.7301,26.0324,26.5654,26.2712,27.003,26.8456,27.1001,26.9349,26.5666,26.7996
21-DEC,7,27.01220238095238,,,26.3665,,26.5246,26.8396,27.7381,45.3658,25.6956,27.6454,28.1242,27.5794,26.2272,26.0766,26.6042,26.3003,27.1919,26.8793,27.2333,27.0371,26.902,26.8543
22-DEC,7,27.03550595238095,,,26.3023,,26.4123,26.9802,27.8642,42.9029,25.6913,27.6446,27.7135,27.6876,25.8137,25.9701,26.7686,26.3707,27.2996,26.9646,27.3049,27.1997,27.2691,27.001
23-DEC,7,27.127232142857142,,,26.4715,,26.5267,27.1675,27.9802,40.9463,25.7233,27.7058,27.5796,27.8595,25.8526,25.9174,26.8653,26.4345,27.2583,27.0175,27.3469,27.3304,26.9989,27.1023
24-DEC,7,27.26764880952381,,,26.7075,,26.8298,27.3633,28.0946,39.9515,25.8221,27.6785,27.7154,27.9968,25.9478,25.9503,26.6896,26.6535,27.2639,27.1392,27.273,27.5002,26.5203,27.2227
25-DEC,7,27.34419642857143,,,26.8935,,26.9488,27.4531,28.1908,40.0335,26.0365,27.364,27.7831,28.0676,25.952,26.0752,26.7579,26.6166,27.4011,27.1561,27.216,27.5909,26.233,27.3348
26-DEC,7,27.34,,,26.9565,,26.9152,27.6906,28.0402,40.13,26.3527,26.8569,27.8217,28.0111,25.9857,26.2266,26.9268,26.9028,27.5931,27.2993,26.8967,27.504,26.1329,27.0787
27-DEC,7,27.27047619047619,,,27.0258,,27.0175,27.855,27.8421,40.9208,26.0817,26.4123,27.9138,28.0247,25.9774,26.399,27.077,27.0339,27.7139,27.5205,26.8504,27.4578,26.1616,26.8288
28-DEC,7,27.138303571428573,,,27.0046,,26.9548,27.7198,27.9323,40.229,25.6565,25.854,27.8119,27.9674,25.8567,26.4775,27.2636,26.9825,27.9161,27.3969,26.8344,27.5609,26.195,26.5959
29-DEC,7,26.965119047619048,,,26.676,,26.7646,27.5371,27.6098,38.9473,25.3929,25.6894,28.0471,28.0269,25.618,26.4041,27.3808,27.0624,28.0851,26.8498,26.8922,27.8001,26.2443,26.4963
30-DEC,7,26.849375,,,26.5875,,26.619,27.2283,27.3758,37.7773,25.3977,25.66,28.285,28.021,25.69,26.3491,27.3612,27.2787,27.9501,26.5626,27.0807,27.768,26.3411,26.5468
31-DEC,7,26.800535714285715,,,26.4558,,26.6027,27.0775,27.225,36.6535,25.4273,25.8544,28.5773,27.8942,25.809,26.2144,27.0814,27.3053,27.8635,26.4093,27.3203,27.832,26.3422,26.6477
01-JAN,7,26.744388059701492,,,26.1804,-53.4087,26.7985,26.8877,27.1917,35.6569,25.399,25.9104,28.8933,27.864,25.9917,26.135,26.9016,27.4345,27.9911,26.5042,27.5954,27.7657,26.4408,26.9167
02-JAN,7,26.756607142857142,,,26.0267,-53.4488,26.9948,26.7433,27.3346,35.3838,25.4681,25.894,28.7385,27.9435,26.4492,26.0176,27.0114,27.593,28.3862,26.6253,27.7216,27.5951,26.4673,27.068
03-JAN,7,26.827410714285715,,,25.8802,-53.4475,27.2294,26.7342,27.7048,35.1283,25.4485,25.9333,28.4735,28.0599,26.848,25.9585,27.0227,27.8093,28.5111,26.5429,27.6419,27.688,26.5268,27.1153
04-JAN,7,26.898065476190474,,,25.6833,-53.4467,27.2785,26.8513,28.0098,34.619,25.3835,26.1765,28.1363,28.2201,27.2031,25.9757,27.0341,27.947,28.3591,26.5731,27.2436,27.9932,26.5632,27.1224
05-JAN,7,26.935267857142858,,,25.6258,-53.4529,27.1917,27.0863,27.9173,34.2665,25.3829,26.4142,27.8913,28.3192,27.3276,26.1254,26.9545,27.956,28.1847,26.7449,26.9341,28.071,26.6232,27.1408
06-JAN,7,26.971785714285716,,,25.7323,-53.4546,27.0069,27.4502,27.7629,33.9769,25.4413,26.671,,28.172,27.1631,26.2235,26.8923,27.8949,27.9218,27.0028,26.7009,28.0466,26.6251,27.0608
07-JAN,7,27.067886904761906,,,25.926,-53.4573,26.7588,27.7367,27.8635,33.756,25.5667,26.9388,,27.9821,27.0735,26.449,26.8071,27.8793,27.7218,,26.5332,28.0191,26.5364,27.1343
08-JAN,7,27.151666666666667,,,26.1781,-53.4569,26.7419,27.8338,27.6723,33.7258,25.8877,27.0621,,27.6091,27.2633,26.5413,26.8846,27.7311,27.6339,27.4464,26.4559,28.0467,26.2724,27.1601
09-JAN,7,27.19345238095238,,,26.3446,-53.4344,26.9183,27.9677,27.2406,33.606,26.1227,27.0565,,27.3683,27.3847,26.6668,27.1006,27.3447,27.5446,27.4754,26.5222,28.137,26.1619,27.3135
10-JAN,7,27.203392857142855,,,26.3917,-53.4396,26.9792,28.0315,26.879,33.7554,26.5102,26.93,,27.396,27.6259,26.8664,27.2718,27.2069,27.5524,27.5066,26.7254,28.2264,26.2658,27.3397
11-JAN,7,27.227857142857143,,,26.4606,-53.4465,26.8469,28.13,26.6021,33.7631,27.0565,26.6098,,27.4068,27.5978,26.9726,27.5298,27.172,27.7232,27.5912,26.9886,28.2339,26.3407,27.4537
12-JAN,7,27.212083333333332,,,26.4642,-53.4469,26.8231,28.2279,26.4523,33.6815,27.1388,26.4142,,27.4098,28.4677,26.9561,27.7755,27.3229,27.8307,27.679,27.1916,28.3471,26.3114,27.5547
13-JAN,7,27.16514880952381,,,26.6065,-53.4548,26.6727,28.3415,26.2794,33.3679,27.0131,26.3423,,27.5421,27.8423,26.9594,27.952,27.2758,28.0632,27.8011,27.5147,28.4523,26.3055,27.4974
14-JAN,7,27.22922619047619,,,26.79,-53.4546,26.6398,28.5008,26.2923,32.7635,27.0094,26.4777,,27.721,27.4277,26.6317,27.9826,27.0794,28.2876,27.7621,27.7637,28.6372,26.3425,27.5411
15-JAN,7,27.272380952380953,,,26.9179,-53.4558,26.7073,28.6085,26.5783,32.184,26.894,26.6133,,27.7231,27.1381,26.2918,27.9666,26.8765,28.1277,27.8561,27.8464,28.3356,26.4202,27.636
16-JAN,7,27.271607142857142,,,27.1627,-53.4552,26.6302,28.686,27.1021,31.6692,26.671,26.5644,,27.7006,27.2718,25.9502,27.7048,26.8097,27.9044,27.8554,27.9218,28.0377,26.5897,27.7355
17-JAN,7,27.27922619047619,,,27.384,-53.4206,26.6035,28.2735,27.5498,31.3892,26.4235,26.4804,,27.8415,27.5105,25.7396,27.6615,26.6746,28.0644,27.4882,28.1391,27.6431,26.7748,27.6786
18-JAN,7,27.291799307958478,,,27.4369,-53.4346,26.5669,28.2298,27.8244,31.4413,26.3769,26.354,,28.0288,27.3759,25.9504,27.9314,26.6806,28.1334,27.3102,28.3279,27.4535,26.8815,27.8171
19-JAN,6,27.287708333333335,,,27.3842,-53.464,26.68,27.7075,27.5383,31.5835,26.4367,26.2302,,28.1778,27.799,26.2832,28.145,26.8996,28.3526,27.2796,28.4407,27.4771,26.8672,28.0221
20-JAN,6,27.295520833333335,,,27.0631,-53.4498,26.8406,27.3177,27.6138,31.5669,26.6102,26.3773,,28.3283,27.9394,26.4969,28.2949,27.0802,28.3429,27.3319,28.4634,27.6105,26.8928,28.1959
21-JAN,6,27.342743055555555,,,26.9469,-53.4619,26.8023,27.2913,27.73,31.5331,26.784,26.6179,,28.3777,27.6403,26.5774,28.2482,27.2364,28.1338,27.4518,28.2738,27.5042,26.9195,28.1225
22-JAN,6,27.40802083333333,,,27.1475,-53.4631,26.9265,27.5298,27.7167,31.6613,26.9652,26.7596,,28.1946,27.5344,26.5851,28.3331,27.4575,27.9559,27.5968,27.8596,27.4343,26.94,28.1996
23-JAN,6,27.417569444444446,,,27.3648,-53.454,26.9735,27.7573,27.4752,31.9031,27.0298,26.6727,,28.0612,27.224,26.4602,28.2092,27.3684,28.0236,27.7195,28.1006,27.5232,27.0188,28.1719
24-JAN,6,27.442083333333333,,,27.3654,-53.4552,26.7883,27.9706,27.1406,32.5467,27.2225,26.564,,27.8589,27.0758,26.3458,27.8274,27.501,28.183,27.809,27.9778,27.6154,27.1884,28.1462
25-JAN,6,27.4759375,,,27.2956,-53.3896,26.5935,28.2385,26.6919,32.5079,27.5715,26.5475,,27.7344,27.345,26.378,27.388,27.7528,28.4527,27.856,28.0277,27.6599,27.2938,28.088
26-JAN,6,27.452708333333334,,,27.4556,-53.4227,26.4735,28.4773,26.3835,31.804,27.8085,26.7704,,27.7049,27.456,26.6649,27.2956,27.4515,28.5513,27.9061,28.0558,27.8119,27.3528,28.0378
27-JAN,6,27.4434375,,,27.676,-53.3792,26.4998,28.6744,26.1558,31.0367,27.9013,26.974,,27.7759,27.2208,26.9408,27.3848,26.7384,28.8723,27.8952,28.209,27.8534,27.3689,28.045
28-JAN,6,27.503854166666667,,,27.9008,-53.3575,26.6535,28.7181,26.3171,30.4792,28.0508,27.2121,,27.7803,27.3559,27.1257,27.6844,26.4938,28.8221,27.9578,28.2038,27.8707,27.4133,27.9732
29-JAN,6,27.544930555555556,,,28.0988,-53.3823,26.6594,28.451,26.7177,30.2225,28.2265,27.309,,27.8694,27.1501,27.1407,28.2813,26.3767,28.4469,28.1666,28.2283,27.8402,27.3571,28.1276
30-JAN,6,27.546388888888888,,,28.2877,-53.41,26.6998,28.3129,27.165,30.2075,28.0838,27.321,,27.8855,26.9518,27.2786,28.7207,,28.3558,28.19,28.097,27.8542,27.3631,28.2084
31-JAN,6,27.568229166666665,,,28.3813,-53.4054,26.8721,28.4967,27.6217,30.3977,27.7179,27.1069,,27.4841,26.9764,27.4432,28.5712,,28.5016,28.3636,28.1273,27.9489,27.4093,28.3132
01-FEB,6,27.459325396825395,,,28.286,-53.4042,26.9798,28.8067,27.9269,27.3531,26.8706,,27.2588,27.131,27.5078,28.3026,,28.7252,28.4179,28.3215,28.1596,27.4565,28.3933
02-FEB,5,27.372125,,,28.1402,-53.4183,26.871,28.8281,28.1367,,26.8448,26.9138,,27.0297,27.2078,27.645,28.4514,,28.6147,28.7554,28.488,27.996,27.3295,28.5371
03-FEB,6,27.473257575757575,,,28.1063,-53.4323,26.7725,28.6217,28.0102,30.7646,26.6502,27.0369,,26.7358,27.3775,27.6483,27.6758,,28.4187,28.8888,28.579,27.5244,27.1944,28.6456
04-FEB,6,27.500555555555554,,,28.1358,-53.4463,26.596,28.2138,27.9181,30.7033,26.7177,27.0454,,26.5677,27.5819,27.6058,27.6843,,28.2489,28.8815,28.494,26.8152,27.0956,28.8008
05-FEB,6,27.484270833333333,,,27.9173,26.4185,27.9902,28.271,30.8521,26.6544,27.256,,26.732,27.6888,27.6217,27.5743,,27.9863,28.647,28.5015,26.4355,26.9314,28.7068
06-FEB,6,27.475208333333335,,,27.7327,,26.12,27.7775,28.5029,30.8923,26.6571,27.3283,,26.9215,28.075,27.8158,27.3125,,27.5634,28.0574,28.499,26.3203,26.7844,28.6455
07-FEB,6,27.452465277777776,,,27.49,,26.0215,27.6729,28.5371,30.8213,26.6365,27.3908,,27.4377,28.2493,27.9615,27.2364,,27.2817,27.7928,28.5096,26.217,26.5534,28.6368
