DATE CREATED
2020-11-23T10:01:40+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
MEA2173 SDI-12 Smart Temperature Sensor 9

UOM DEFINITIONS
Degrees Celsius

STATION
Cleveland Bay
LATITUDE
-19.13866
LONGITUDE
146.899

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL0_summer_98_99,wtemp_LEVEL0_summer_99_00,wtemp_LEVEL0_summer_00_01,wtemp_LEVEL0_summer_01_02,wtemp_LEVEL0_summer_02_03,wtemp_LEVEL0_summer_03_04,wtemp_LEVEL0_summer_04_05,wtemp_LEVEL0_summer_05_06,wtemp_LEVEL0_summer_06_07,wtemp_LEVEL0_summer_07_08,wtemp_LEVEL0_summer_08_09,wtemp_LEVEL0_summer_09_10,wtemp_LEVEL0_summer_10_11,wtemp_LEVEL0_summer_11_12,wtemp_LEVEL0_summer_12_13,wtemp_LEVEL0_summer_13_14,wtemp_LEVEL0_summer_14_15,wtemp_LEVEL0_summer_15_16,wtemp_LEVEL0_summer_16_17,wtemp_LEVEL0_summer_17_18,wtemp_LEVEL0_summer_18_19,wtemp_LEVEL0_summer_19_20
20-JAN,8,28.826753125,,28.1121,28.6796,29.6938,28.5456,29.67,29.585,29.3963,28.5852,29.9331,28.0992,30.0223,29.5752,,29.6156,28.5536,30.3585,,30.1948,28.2311,27.7672,29.9613
21-JAN,8,28.890044270833332,,28.3631,28.396,29.7488,28.5713,29.5106,29.4342,29.4996,28.4633,29.8654,28.2971,30.0781,29.5667,,29.2059,28.7913,30.3894,,30.4271,28.1524,27.7365,29.9246
22-JAN,8,28.862788802083333,,28.3877,28.6075,29.4673,28.7077,29.6031,29.2188,29.5048,28.1952,29.1815,28.6183,29.5923,29.1404,,28.9557,29.1138,30.1493,,30.4555,28.1279,27.7052,29.8746
23-JAN,8,28.897017708333333,,29.1248,28.896,29.3283,28.8729,29.7625,29.0592,29.6675,28.304,28.9804,28.6465,29.2633,28.8081,,28.2937,29.3518,30.0943,,30.2816,28.1357,27.6371,29.9645
24-JAN,8,28.92096015625,,29.4792,28.9325,29.4177,28.83,29.9329,28.421,29.7458,28.5019,28.7783,28.791,29.0983,28.7458,,27.9766,29.2123,30.077,,30.4153,27.963,27.731,30.1138
25-JAN,8,28.925136979166666,,29.7225,28.8898,29.6529,28.7063,30.0388,27.9013,29.7538,28.7813,28.7394,28.9631,28.735,28.9902,,27.968,29.2988,30.1222,,30.2973,27.8018,27.7211,30.2035
26-JAN,8,28.888948958333334,,29.6154,29.1363,29.831,28.3042,30.3252,27.8408,29.5267,28.9504,29.0119,29.0583,28.5333,29.0577,,28.1149,29.3645,30.2992,,30.2295,27.7599,27.574,30.091
27-JAN,8,28.902501041666667,,29.576,29.3146,29.6808,28.1575,30.7035,27.7575,28.4763,29.0842,29.27,28.7502,28.2785,29.034,,28.3369,29.138,30.5581,,30.2466,27.9293,27.3232,29.7554
28-JAN,8,28.962146614583332,,29.5465,29.6756,29.8585,28.5327,30.9063,28.0088,28.0256,29.4452,29.5146,28.4742,28.1096,29.0148,,28.8582,28.6442,30.8748,,30.2757,28.0873,27.0429,29.4795
29-JAN,8,29.18431796875,,29.7019,29.9635,30.1435,28.6213,30.9025,28.7465,27.9083,29.5208,29.2281,28.0294,27.7771,28.9904,,29.4015,28.2912,30.8786,,30.2253,28.3738,26.7688,29.2683
30-JAN,8,29.235708333333335,,29.7727,30.2546,30.4004,28.8423,31.1215,29.4281,27.9192,29.2369,29.0892,27.524,27.4527,28.6521,,30.0184,30.7874,,30.0662,28.502,26.4764,28.8659
31-JAN,8,29.072072395833334,,29.5908,30.3694,30.6392,28.989,31.0798,29.7613,28.0446,28.7692,28.6927,27.2735,27.1735,28.6402,,30.4657,,30.8657,,29.7298,28.9074,26.6032,29.0089
01-FEB,8,28.895025520833332,,29.2498,30.346,30.8944,29.2152,30.876,29.964,28.19,28.1652,28.3746,27.1113,27.5565,28.876,,30.7572,,30.8964,,29.4472,29.1329,26.4092,28.9204
02-FEB,8,28.7929,,29.1802,30.2781,31.0375,29.2065,30.7252,30.2825,28.2775,27.9108,28.4088,27.1731,27.9769,28.5077,,31.1362,,31.0553,,29.4407,29.3634,26.1576,28.8825
03-FEB,8,28.86322265625,,28.8215,29.5267,31.074,29.2565,30.9927,29.8485,28.3506,27.5081,28.5754,27.1254,28.2569,,31.3328,,30.95,,29.5131,29.5372,26.1661,29.1292
04-FEB,8,28.929456510416667,,28.4806,29.6667,31.2106,29.335,30.3396,29.9908,28.6942,27.2525,28.7094,27.0008,28.9429,,,30.9663,,30.5041,,29.4192,29.4445,25.9923,29.4395
05-FEB,8,28.82477942708333,,28.1513,29.1875,31.3325,29.3958,28.9583,29.8198,29.0819,26.9506,29.0542,26.9817,29.375,,,30.3358,,30.3616,,29.3855,28.8862,26.1224,29.7695
06-FEB,8,28.770154166666668,,27.6498,28.8967,31.4875,29.6444,28.3794,30.1025,29.3765,26.8504,29.3079,26.8758,29.6433,,,30.0786,,30.1159,,29.4007,28.7815,26.2474,29.7934
07-FEB,8,28.769330729166665,,27.2275,28.7267,31.6644,29.7606,28.429,30.2825,29.6313,26.6627,29.6204,26.7435,30.0113,,,29.7838,,29.4435,,29.3677,28.1992,26.1767,29.9258
08-FEB,8,28.64564296875,,26.9371,28.4904,31.6925,29.3588,28.5517,30.2885,29.7567,26.3531,29.8671,26.6198,30.2056,,,29.4158,,28.7937,,29.2673,27.9587,26.1193,30.1244
