"Financial Year","Name","Address Line 1","Address Line 2","Suburb","State","Postcode","Lodged on behalf of","Total Expenditure","1*","2*","3*","4*","5*","Total Gifts Received"
"2015-16","Australian Christian Lobby","4 Campion Street","","DEAKIN","ACT","2600","","208436","0","170522","0","0","37914","123640"
"2015-16","Australian Conservation Foundation Incorporated","Level 1,","60 Leicester Street","CARLTON","VIC","3053","","173783","0","147142","0","19200","7441","0"
"2015-16","Australian Council of Trade Unions","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","4702032","82738","472898","2017069","1225538","903789","4732956"
"2015-16","Australian Education Union ","120 Clarendon Street","","SOUTHBANK","VIC","3006","","4931282","242810","680063","3062151","129227","817031","0"
"2015-16","Australian Education Union Victorian Branch","PO Box 363","","ABBOTSFORD","VIC","3067","","519038","0","270020","0","0","249018","0"
"2015-16","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","PO Box 3272","","SOUTH BRISBANE","QLD","4101","","36306","0","30053","0","6253","0","0"
"2015-16","Australian Municipal Administrative Clerical and Services Union ","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","336283","336283","0","0","0","0","0"
"2015-16","Australian Rail Tram & Bus Industry Union NSW Branch","Level 4","321 Pitt Street","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2015-16","Australian Trucking Association Ltd","Minter Ellison Building","25 National Circuit","FORREST","ACT","2603","","97509","0","48517","0","16072","32920","0"
"2015-16","Australian Workers Union WA Branch","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","34724","0","0","0","34724","0","0"
"2015-16","Automotive Food Metals Engineering Printing & Kindred Ind. Union","PO Box 160","","GRANVILLE","NSW","2142","","159876","0","157811","0","2065","0","0"
"2015-16","Business Council of Australia","Level 42, 120 Collins Street","","MELBOURNE","VIC","3000","","2662083","0","384244","2032543","106700","138596","220000"
"2015-16","CEPU Plumbing Division Queensland Branch","PO Box 3596","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2015-16","CFMEU - Construction & General Division (WA Branch)","PO Box 8075","","PERTH BC","WA","6849","","199795","199795","0","0","0","0","0"
"2015-16","CFMEU - Construction & General Division, National Office","PO Box Q235","QVB Post Office","SYDNEY","NSW","1230","","45352","0","12676","32676","0","0","0"
"2015-16","Community and Public Sector Union (PSU Group)","Level 7 191-199 Thomas Street","","HAYMARKET","NSW","2000","","127570","12549","86046","0","8384","20591","0"
"2015-16","Construction Forestry Maritime Mining & Energy Union The Construction & General Division ACT Divisional Branch","PO Box 498","","DICKSON","ACT","2602","","55104","0","20656","0","0","34448","0"
"2015-16","Construction Forestry Mining & Energy, Industrial Union of Employees, Queensland - Construction and General Division","16 Campbell Street","","BOWEN HILLS","QLD","4006","","13825","11922","1903","0","0","0","0"
"2015-16","Council of Mayors (SEQ) Pty Ltd","PO Box 12995","","GEORGE STREET","QLD","4003","","66747","0","789","0","0","65958","0"
"2015-16","Electrical Trades Union of Australia NSW Branch","Level 5/370 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2015-16","Environment Victoria","Level 2 60 Leicester St","","CARLTON","VIC","3053","","19108","8181","4327","0","6600","0","0"
"2015-16","GetUp Limited","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","10081186","6448657","1119422","559137","238618","1715352","345840"
"2015-16","Greenpeace Australia Pacific Limited","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","53406","46150","0","0","7147","109","0"
"2015-16","LET Australia Ltd","PO Box 10944","","BRISBANE","QLD","4000","","2481797","0","1115066","1310601","56130","0","0"
"2015-16","Master Builders Association of Western Australia","PO Box 167","","WEST PERTH","WA","6872","","56685","0","0","0","0","56685","0"
"2015-16","Master Builders Australia Ltd","PO Box 7170","","YARRALUMLA","ACT","2600","","226583","0","185266","41317","0","0","0"
"2015-16","Minerals Council of Australia","PO Box 4497","","KINGSTON","ACT","2604","","789706","0","334164","235542","0","220000","0"
"2015-16","National Civic Council","PO Box 251","","BALWYN","VIC","3103","","46905","25587","0","21318","0","0","0"
"2015-16","National Tertiary Education Union (NTEU)","PO Box 1323","","SOUTH MELBOURNE","VIC","3205","","290047","220683","64689","0","4675","0","0"
"2015-16","National Union of Workers - National Office","PO Box 343","","NORTH MELBOURNE","VIC","3051","","56632","50576","5706","0","350","0","0"
"2015-16","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","Level 7, 321 Pitt Street","","SYDNEY","NSW","2000","","21131","0","21131","0","0","0","0"
"2015-16","New South Wales Nurses and Midwives' Association","50 O'Dea Avenue","","WATERLOO","NSW","2017","","1993963","22166","510564","1399363","61870","0","0"
"2015-16","One Community SA","PO Box 31","","GREENACRES","SA","5086","","351329","0","227567","123762","0","0","0"
"2015-16","Queensland Council of Unions (QCU)","Level 5","16 Peel Street","SOUTH BRISBANE","QLD","4101","","71390","134","4584","0","3297","63375","0"
"2015-16","Queensland Nurses and Midwives' Union","106 Victoria Street","","WEST END","QLD","4101","","240191","0","76191","55000","0","109000","0"
"2015-16","Queensland Teachers Union of Employees","PO Box 1750","","MILTON","QLD","4064","","304699","0","0","121000","3505","180194","0"
"2015-16","Royal Australian College of General Practitioners","100 Wellington Parade","","EAS MELBOURNE","VIC","3002","","429782","0","10570","419212","0","0","0"
"2015-16","SA Road Transport Association","PO Box 2420","","REGENCY PARK","SA","5942","","150000","0","0","150000","0","0","100000"
"2015-16","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","PO Box 2211","","DANGAR","NSW","2309","","23294","0","0","14022","1067","8205","0"
"2015-16","Shop Distributive & Allied Employees' Association NSW Branch","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
